('Total Revenue', '254,190,000.00', '245,122,000.00', '211,915,000.00', '198,270,000.00', '168,088,000.00')
         737403 function calls (717066 primitive calls) in 1.807 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1833    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
     5401    0.001    0.000    0.001    0.000 element.py:2062(descendants)
       42    0.001    0.000    0.006    0.000 response.py:122(decompress)
       17    0.001    0.000    0.001    0.000 {built-in method builtins.eval}
      325    0.001    0.000    0.003    0.000 css_parser.py:1094(selector_iter)
     2703    0.001    0.000    0.001    0.000 __init__.py:773(handle_data)
6108/6040    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
     8881    0.001    0.000    0.001    0.000 element.py:1586(__bool__)
      316    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:380(cache_from_source)
     1058    0.001    0.000    0.001    0.000 sre_parse.py:296(_class_escape)
     4195    0.001    0.000    0.001    0.000 abc.py:117(__instancecheck__)
      122    0.001    0.000    0.001    0.000 sre_compile.py:516(_get_charset_prefix)
      190    0.001    0.000    0.005    0.000 sre_compile.py:560(_compile_info)
     2670    0.001    0.000    0.001    0.000 __init__.py:205(can_be_empty_element)
     5496    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
    208/4    0.001    0.000    0.174    0.044 <frozen importlib._bootstrap>:1022(_find_and_load)
      188    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:1399(_get_spec)
      190    0.001    0.000    0.078    0.000 sre_compile.py:783(compile)
     3420    0.001    0.000    0.001    0.000 element.py:2203(_normalize_search_value)
      802    0.001    0.000    0.001    0.000 sre_parse.py:356(_escape)
       17    0.001    0.000    0.001    0.000 __init__.py:328(namedtuple)
      248    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
     5460    0.001    0.000    0.001    0.000 {method 'start' of 're.Match' objects}
     4195    0.001    0.000    0.001    0.000 {built-in method _abc._abc_instancecheck}
      269    0.001    0.000    0.001    0.000 sre_compile.py:437(<listcomp>)
     2670    0.001    0.000    0.001    0.000 __init__.py:453(set_up_substitutions)
    184/4    0.001    0.000    0.174    0.043 <frozen importlib._bootstrap>:664(_load_unlocked)
      184    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
      321    0.000    0.000    0.001    0.000 enum.py:89(__setitem__)
     6479    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
    52/14    0.000    0.000    0.009    0.001 css_parser.py:911(parse_selectors)
     2563    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
     3693    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
     7582    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
    207/4    0.000    0.000    0.174    0.044 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
     2264    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
     2525    0.000    0.000    0.000    0.000 parser.py:126(clear_cdata_mode)
     1361    0.000    0.000    0.001    0.000 sre_parse.py:169(__setitem__)
      881    0.000    0.000    0.001    0.000 sre_parse.py:433(_uniq)
     2669    0.000    0.000    0.000    0.000 _markupbase.py:36(getpos)
     2481    0.000    0.000    0.001    0.000 css_parser.py:307(match)
      190    0.000    0.000    0.049    0.000 sre_parse.py:944(parse)
     1003    0.000    0.000    0.001    0.000 sre_compile.py:447(_simple)
      158    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
      248    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:100(acquire)
      312    0.000    0.000    1.215    0.004 socket.py:691(readinto)
       17    0.000    0.000    0.000    0.000 {built-in method posix.listdir}
     2752    0.000    0.000    0.001    0.000 {built-in method builtins.max}
       18    0.000    0.000    0.391    0.022 __init__.py:1(<module>)
        4    0.000    0.000    0.000    0.000 {built-in method _ssl.txt2obj}
      881    0.000    0.000    0.000    0.000 {built-in method fromkeys}
      312    0.000    0.000    1.215    0.004 ssl.py:1292(recv_into)
      190    0.000    0.000    0.001    0.000 typing.py:146(_type_check)
        1    0.000    0.000    0.000    0.000 idnadata.py:1(<module>)
       53    0.000    0.000    0.000    0.000 {built-in method builtins.compile}
      248    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:125(release)
        1    0.000    0.000    0.000    0.000 entities.py:1(<module>)
      588    0.000    0.000    0.001    0.000 typing.py:986(__setattr__)
      316    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
      167    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:721(spec_from_file_location)
      269    0.000    0.000    0.001    0.000 sre_compile.py:435(_mk_bitmap)
        9    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
      384    0.000    0.000    0.000    0.000 enum.py:470(__setattr__)
     3812    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
       77    0.000    0.000    0.003    0.000 css_parser.py:462(parse_attribute_selector)
      158    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1070(get_data)
      158    0.000    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:670(_compile_bytecode)
      601    0.000    0.000    0.003    0.000 enum.py:359(__call__)
      312    0.000    0.000    1.214    0.004 ssl.py:1150(read)
      412    0.000    0.000    0.000    0.000 sre_parse.py:259(getwhile)
      816    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
    159/1    0.000    0.000    1.807    1.807 {built-in method builtins.exec}
    158/4    0.000    0.000    0.174    0.043 <frozen importlib._bootstrap_external>:877(exec_module)
       10    0.000    0.000    0.001    0.000 enum.py:553(<listcomp>)
      190    0.000    0.000    0.001    0.000 enum.py:986(__and__)
     2785    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
       19    0.000    0.000    0.000    0.000 enum.py:222(<setcomp>)
       17    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
      136    0.000    0.000    0.000    0.000 css_parser.py:359(__init__)
      591    0.000    0.000    0.001    0.000 enum.py:678(__new__)
      813    0.000    0.000    0.000    0.000 element.py:1543(get)
      474    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
      190    0.000    0.000    0.027    0.000 sre_compile.py:622(_code)
  210/176    0.000    0.000    0.000    0.000 sre_compile.py:485(_get_literal_prefix)
      926    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
     2734    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
  184/180    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
      479    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1356(_path_importer_cache)
      207    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:71(__init__)
      158    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:585(_classify_pyc)
       47    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
       70    0.000    0.000    0.001    0.000 typing.py:1016(__init__)
      190    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
     1379    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
        1    0.000    0.000    0.002    0.002 packages.py:1(<module>)
      207    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:198(cb)
      120    0.000    0.000    0.001    0.000 _markupbase.py:165(parse_comment)
       42    0.000    0.000    0.316    0.008 response.py:1173(read_chunked)
      405    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:404(parent)
     2521    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
      190    0.000    0.000    0.000    0.000 sre_parse.py:225(__init__)
        1    0.000    0.000    1.807    1.807 financial.py:1(<module>)
  136/131    0.000    0.000    0.002    0.000 css_parser.py:385(freeze)
      737    0.000    0.000    0.000    0.000 sre_parse.py:82(groups)
      588    0.000    0.000    0.000    0.000 typing.py:935(_is_dunder)
      175    0.000    0.000    0.000    0.000 sre_parse.py:85(opengroup)
       17    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
      321    0.000    0.000    0.000    0.000 enum.py:44(_is_private)
      167    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:510(_get_cached)
  575/556    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
      325    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:391(cached)
      581    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:897(__exit__)
       76    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
      158    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:618(_validate_timestamp_pyc)
      167    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1531(_get_spec)
      632    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
      238    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
      208    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:169(__enter__)
      188    0.000    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
      581    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:893(__enter__)
     1695    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
  141/135    0.000    0.000    0.002    0.000 typing.py:306(inner)
       51    0.000    0.000    0.000    0.000 functools.py:35(update_wrapper)
      120    0.000    0.000    0.001    0.000 _htmlparser.py:241(handle_comment)
      205    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:357(__init__)
     1670    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
      292    0.000    0.000    0.000    0.000 types.py:176(__get__)
       41    0.000    0.000    0.309    0.008 response.py:1151(_handle_chunk)
    237/4    0.000    0.000    0.173    0.043 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
       73    0.000    0.000    0.000    0.000 typing.py:206(_collect_type_vars)
        3    0.000    0.000    0.007    0.002 utils.py:1(<module>)
      321    0.000    0.000    0.000    0.000 enum.py:22(_is_dunder)
       84    0.000    0.000    0.000    0.000 css_parser.py:798(parse_combinator)
      743    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
       73    0.000    0.000    0.000    0.000 sre_parse.py:268(getuntil)
      273    0.000    0.000    0.000    0.000 css_parser.py:334(match)
      190    0.000    0.000    0.000    0.000 sre_parse.py:928(fix_flags)
      312    0.000    0.000    0.000    0.000 {method '_checkClosed' of '_io._IOBase' objects}
  159/158    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:542(_check_name_wrapper)
      136    0.000    0.000    0.001    0.000 css_types.py:203(__init__)
        1    0.000    0.000    0.001    0.001 constant.py:1(<module>)
    67/36    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
       51    0.000    0.000    0.907    0.018 {method 'readline' of '_io.BufferedReader' objects}
      193    0.000    0.000    0.001    0.000 typing.py:137(_type_convert)
      303    0.000    0.000    0.079    0.000 re.py:249(compile)
       99    0.000    0.000    0.001    0.000 enum.py:980(__or__)
      189    0.000    0.000    0.001    0.000 css_types.py:360(__init__)
      321    0.000    0.000    0.000    0.000 enum.py:33(_is_sunder)
       63    0.000    0.000    0.309    0.005 client.py:624(_safe_read)
      158    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1089(path_stats)
     1630    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
      308    0.000    0.000    0.000    0.000 css_parser.py:238(css_unescape)
      313    0.000    0.000    0.000    0.000 socket.py:730(readable)
       41    0.000    0.000    0.006    0.000 response.py:469(_decode)
      380    0.000    0.000    0.000    0.000 sre_compile.py:619(isstring)
       31    0.000    0.000    0.001    0.000 typing.py:483(Union)
