('Total Revenue', '254,190,000.00', '245,122,000.00', '211,915,000.00', '198,270,000.00', '168,088,000.00')
         737441 function calls (717118 primitive calls) in 6.817 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      158    0.001    0.000    0.018    0.000 <frozen importlib._bootstrap_external>:950(get_code)
6108/6040    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
     1833    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
      325    0.001    0.000    0.003    0.000 css_parser.py:1094(selector_iter)
     5401    0.001    0.000    0.001    0.000 element.py:2062(descendants)
     2703    0.001    0.000    0.001    0.000 __init__.py:773(handle_data)
     1058    0.001    0.000    0.001    0.000 sre_parse.py:296(_class_escape)
     8881    0.001    0.000    0.001    0.000 element.py:1586(__bool__)
       17    0.001    0.000    0.001    0.000 {built-in method builtins.eval}
      316    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:380(cache_from_source)
      190    0.001    0.000    0.005    0.000 sre_compile.py:560(_compile_info)
      190    0.001    0.000    0.078    0.000 sre_compile.py:783(compile)
      122    0.001    0.000    0.001    0.000 sre_compile.py:516(_get_charset_prefix)
      248    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
     2670    0.001    0.000    0.001    0.000 __init__.py:205(can_be_empty_element)
       43    0.001    0.000    0.005    0.000 response.py:122(decompress)
    208/4    0.001    0.000    0.176    0.044 <frozen importlib._bootstrap>:1022(_find_and_load)
     5496    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
      188    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:1399(_get_spec)
       17    0.001    0.000    0.001    0.000 __init__.py:328(namedtuple)
     4195    0.001    0.000    0.001    0.000 abc.py:117(__instancecheck__)
      269    0.001    0.000    0.001    0.000 sre_compile.py:437(<listcomp>)
     2752    0.001    0.000    0.001    0.000 {built-in method builtins.max}
     3420    0.001    0.000    0.001    0.000 element.py:2203(_normalize_search_value)
    52/14    0.001    0.000    0.009    0.001 css_parser.py:911(parse_selectors)
      802    0.001    0.000    0.001    0.000 sre_parse.py:356(_escape)
     4195    0.001    0.000    0.001    0.000 {built-in method _abc._abc_instancecheck}
    184/4    0.000    0.000    0.176    0.044 <frozen importlib._bootstrap>:664(_load_unlocked)
      321    0.000    0.000    0.001    0.000 enum.py:89(__setitem__)
     2670    0.000    0.000    0.001    0.000 __init__.py:453(set_up_substitutions)
      184    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
     5460    0.000    0.000    0.000    0.000 {method 'start' of 're.Match' objects}
     6479    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
     7582    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
     3693    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
     1361    0.000    0.000    0.001    0.000 sre_parse.py:169(__setitem__)
     2525    0.000    0.000    0.000    0.000 parser.py:126(clear_cdata_mode)
    207/4    0.000    0.000    0.176    0.044 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
     2563    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
     2264    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
     2669    0.000    0.000    0.000    0.000 _markupbase.py:36(getpos)
       18    0.000    0.000    0.394    0.022 __init__.py:1(<module>)
     2481    0.000    0.000    0.001    0.000 css_parser.py:307(match)
      190    0.000    0.000    0.050    0.000 sre_parse.py:944(parse)
       17    0.000    0.000    0.000    0.000 {built-in method posix.listdir}
      881    0.000    0.000    0.001    0.000 sre_parse.py:433(_uniq)
      167    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:721(spec_from_file_location)
      248    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:100(acquire)
     1003    0.000    0.000    0.001    0.000 sre_compile.py:447(_simple)
      158    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
      881    0.000    0.000    0.000    0.000 {built-in method fromkeys}
        4    0.000    0.000    0.000    0.000 {built-in method _ssl.txt2obj}
      190    0.000    0.000    0.001    0.000 typing.py:146(_type_check)
        9    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
     3812    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        1    0.000    0.000    0.000    0.000 idnadata.py:1(<module>)
      248    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:125(release)
       53    0.000    0.000    0.000    0.000 {built-in method builtins.compile}
        1    0.000    0.000    0.000    0.000 entities.py:1(<module>)
      269    0.000    0.000    0.001    0.000 sre_compile.py:435(_mk_bitmap)
      158    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1070(get_data)
    158/4    0.000    0.000    0.175    0.044 <frozen importlib._bootstrap_external>:877(exec_module)
      816    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
       77    0.000    0.000    0.003    0.000 css_parser.py:462(parse_attribute_selector)
      588    0.000    0.000    0.001    0.000 typing.py:986(__setattr__)
      323    0.000    0.000    1.200    0.004 ssl.py:1292(recv_into)
      316    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
      384    0.000    0.000    0.000    0.000 enum.py:470(__setattr__)
      323    0.000    0.000    1.201    0.004 socket.py:691(readinto)
      158    0.000    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:670(_compile_bytecode)
      412    0.000    0.000    0.000    0.000 sre_parse.py:259(getwhile)
      601    0.000    0.000    0.003    0.000 enum.py:359(__call__)
       73    0.000    0.000    0.000    0.000 sre_parse.py:268(getuntil)
      190    0.000    0.000    0.001    0.000 enum.py:986(__and__)
       10    0.000    0.000    0.001    0.000 enum.py:553(<listcomp>)
    159/1    0.000    0.000    6.817    6.817 {built-in method builtins.exec}
       19    0.000    0.000    0.000    0.000 enum.py:222(<setcomp>)
      136    0.000    0.000    0.000    0.000 css_parser.py:359(__init__)
      190    0.000    0.000    0.027    0.000 sre_compile.py:622(_code)
